Month,Year,CPI_T3,Gold_T3,Interest_T3,CPI_T2,Gold_T2,Interest_T2,CPI_T1,Gold_T1,Interest_T1,CPI_Target
4,2015,90.45,35.13,6.17,91.41,35.15,6.08,92.4,36.37,5.92,92.87
5,2015,91.41,35.15,6.08,92.4,36.37,5.92,92.87,36.12,5.76,93.19
6,2015,92.4,36.37,5.92,92.87,36.12,5.76,93.19,34.12,5.23,93.11
7,2015,92.87,36.12,5.76,93.19,34.12,5.23,93.11,33.21,5.3,92.86
8,2015,93.19,34.12,5.23,93.11,33.21,5.3,92.86,31.81,5.72,92.94
9,2015,93.11,33.21,5.3,92.86,31.81,5.72,92.94,32.19,5.27,92.87
10,2015,92.86,31.81,5.72,92.94,32.19,5.27,92.87,32.63,4.91,93.26
11,2015,92.94,32.19,5.27,92.87,32.63,4.91,93.26,32.21,4.8,93.16
12,2015,92.87,32.63,4.91,93.26,32.21,4.8,93.16,34.73,4.78,92.83
1,2016,93.26,32.21,4.8,93.16,34.73,4.78,92.83,36.01,4.39,93.13
2,2016,93.16,34.73,4.78,92.83,36.01,4.39,93.13,33.96,3.97,93.43
3,2016,92.83,36.01,4.39,93.13,33.96,3.97,93.43,35.15,4.0,93.57
4,2016,93.13,33.96,3.97,93.43,35.15,4.0,93.57,35.09,3.54,93.41
5,2016,93.43,35.15,4.0,93.57,35.09,3.54,93.41,34.84,3.84,93.79
6,2016,93.57,35.09,3.54,93.41,34.84,3.84,93.79,33.02,3.91,93.79
7,2016,93.41,34.84,3.84,93.79,33.02,3.91,93.79,32.51,4.08,94.51
8,2016,93.79,33.02,3.91,93.79,32.51,4.08,94.51,33.93,3.8,94.55
9,2016,93.79,32.51,4.08,94.51,33.93,3.8,94.55,34.62,4.08,94.52
10,2016,94.51,33.93,3.8,94.55,34.62,4.08,94.52,34.7,3.73,94.12
11,2016,94.55,34.62,4.08,94.52,34.7,3.73,94.12,35.97,4.11,94.28
12,2016,94.52,34.7,3.73,94.12,35.97,4.11,94.28,37.48,4.2,94.16
1,2017,94.12,35.97,4.11,94.28,37.48,4.2,94.16,38.21,4.64,94.34
2,2017,94.28,37.48,4.2,94.16,38.21,4.64,94.34,40.39,3.84,94.95
3,2017,94.16,38.21,4.64,94.34,40.39,3.84,94.95,40.79,3.73,95.2
4,2017,94.34,40.39,3.84,94.95,40.79,3.73,95.2,38.71,3.64,95.58
5,2017,94.95,40.79,3.73,95.2,38.71,3.64,95.58,40.78,3.47,95.37
6,2017,95.2,38.71,3.64,95.58,40.78,3.47,95.37,40.48,3.72,95.74
7,2017,95.58,40.78,3.47,95.37,40.48,3.72,95.74,40.15,3.85,95.98
8,2017,95.37,40.48,3.72,95.74,40.15,3.85,95.98,41.61,3.62,96.02
9,2017,95.74,40.15,3.85,95.98,41.61,3.62,96.02,41.44,3.16,96.37
10,2017,95.98,41.61,3.62,96.02,41.44,3.16,96.37,42.05,3.15,96.45
11,2017,96.02,41.44,3.16,96.37,42.05,3.15,96.45,40.65,3.0,96.48
12,2017,96.37,42.05,3.15,96.45,40.65,3.0,96.48,39.99,2.93,96.88
1,2018,96.45,40.65,3.0,96.48,39.99,2.93,96.88,42.55,2.96,97.21
2,2018,96.48,39.99,2.93,96.88,42.55,2.96,97.21,42.76,2.37,97.4
3,2018,96.88,42.55,2.96,97.21,42.76,2.37,97.4,43.14,3.09,97.5
4,2018,97.21,42.76,2.37,97.4,43.14,3.09,97.5,43.8,3.06,97.12
5,2018,97.4,43.14,3.09,97.5,43.8,3.06,97.12,45.47,3.26,97.71
6,2018,97.5,43.8,3.06,97.12,45.47,3.26,97.71,44.68,3.66,97.21
7,2018,97.12,45.47,3.26,97.71,44.68,3.66,97.21,45.68,4.3,96.92
8,2018,97.71,44.68,3.66,97.21,45.68,4.3,96.92,45.3,4.31,96.86
9,2018,97.21,45.68,4.3,96.92,45.3,4.31,96.86,43.74,4.31,96.53
10,2018,96.92,45.3,4.31,96.86,43.74,4.31,96.53,44.61,4.01,97.51
11,2018,96.86,43.74,4.31,96.53,44.61,4.01,97.51,43.97,3.9,98.12
12,2018,96.53,44.61,4.01,97.51,43.97,3.9,98.12,42.79,3.95,98.97
1,2019,97.51,43.97,3.9,98.12,42.79,3.95,98.97,41.16,3.98,99.3
2,2019,98.12,42.79,3.95,98.97,41.16,3.98,99.3,42.4,3.59,98.84
3,2019,98.97,41.16,3.98,99.3,42.4,3.59,98.84,43.33,3.66,99.16
4,2019,99.3,42.4,3.59,98.84,43.33,3.66,99.16,44.04,3.44,99.48
5,2019,98.84,43.33,3.66,99.16,44.04,3.44,99.48,44.7,3.2,100.61
6,2019,99.16,44.04,3.44,99.48,44.7,3.2,100.61,45.56,2.82,101.14
7,2019,99.48,44.7,3.2,100.61,45.56,2.82,101.14,44.69,3.04,101.92
8,2019,100.61,45.56,2.82,101.14,44.69,3.04,101.92,44.01,3.31,102.33
9,2019,101.14,44.69,3.04,101.92,44.01,3.31,102.33,45.3,3.86,102.4
10,2019,101.92,44.01,3.31,102.33,45.3,3.86,102.4,44.69,3.57,102.2
11,2019,102.33,45.3,3.86,102.4,44.69,3.57,102.2,44.9,3.65,102.53
12,2019,102.4,44.69,3.57,102.2,44.9,3.65,102.53,46.19,3.64,103.46
1,2020,102.2,44.9,3.65,102.53,46.19,3.64,103.46,46.17,4.43,103.97
2,2020,102.53,46.19,3.64,103.46,46.17,4.43,103.97,45.45,4.09,104.42
3,2020,103.46,46.17,4.43,103.97,45.45,4.09,104.42,45.48,4.29,104.85
